start,end,avg_speed
2018-08-17T11:30:00.000Z,2018-08-17T11:35:00.000Z,133.77
2018-08-17T15:10:00.000Z,2018-08-17T15:15:00.000Z,38.2
2018-08-17T06:20:00.000Z,2018-08-17T06:25:00.000Z,0.0
2018-08-14T06:30:00.000Z,2018-08-14T06:35:00.000Z,0.0
2018-08-14T07:10:00.000Z,2018-08-14T07:15:00.000Z,0.0
2018-08-16T19:40:00.000Z,2018-08-16T19:45:00.000Z,40.68
2018-08-17T07:05:00.000Z,2018-08-17T07:10:00.000Z,0.0
2018-08-14T06:10:00.000Z,2018-08-14T06:15:00.000Z,0.0
2018-08-16T06:45:00.000Z,2018-08-16T06:50:00.000Z,94.0
2018-08-16T11:20:00.000Z,2018-08-16T11:25:00.000Z,0.0
2018-08-15T23:35:00.000Z,2018-08-15T23:40:00.000Z,0.0
2018-08-16T12:25:00.000Z,2018-08-16T12:30:00.000Z,0.0
2018-08-16T16:45:00.000Z,2018-08-16T16:50:00.000Z,0.0
2018-08-16T09:15:00.000Z,2018-08-16T09:20:00.000Z,0.0
2018-08-16T07:35:00.000Z,2018-08-16T07:40:00.000Z,187.59
2018-08-16T11:40:00.000Z,2018-08-16T11:45:00.000Z,0.0
2018-08-17T06:40:00.000Z,2018-08-17T06:45:00.000Z,0.0
2018-08-17T09:35:00.000Z,2018-08-17T09:40:00.000Z,0.0
2018-08-14T03:25:00.000Z,2018-08-14T03:30:00.000Z,0.0
2018-08-14T08:00:00.000Z,2018-08-14T08:05:00.000Z,0.0
2018-08-16T11:05:00.000Z,2018-08-16T11:10:00.000Z,0.0
2018-08-16T21:50:00.000Z,2018-08-16T21:55:00.000Z,44.82
2018-08-17T07:35:00.000Z,2018-08-17T07:40:00.000Z,0.0
2018-08-17T11:40:00.000Z,2018-08-17T11:45:00.000Z,151.96
2018-08-17T01:25:00.000Z,2018-08-17T01:30:00.000Z,0.0
2018-08-14T05:55:00.000Z,2018-08-14T06:00:00.000Z,0.0
2018-08-16T16:35:00.000Z,2018-08-16T16:40:00.000Z,0.0
2018-08-16T20:15:00.000Z,2018-08-16T20:20:00.000Z,215.87
2018-08-17T08:10:00.000Z,2018-08-17T08:15:00.000Z,139.33
2018-08-14T10:15:00.000Z,2018-08-14T10:20:00.000Z,0.0
2018-08-14T10:50:00.000Z,2018-08-14T10:55:00.000Z,0.0
2018-08-16T07:40:00.000Z,2018-08-16T07:45:00.000Z,149.13
2018-08-16T19:15:00.000Z,2018-08-16T19:20:00.000Z,19.93
2018-08-16T22:10:00.000Z,2018-08-16T22:15:00.000Z,81.22
2018-08-17T16:10:00.000Z,2018-08-17T16:15:00.000Z,58.28
2018-08-14T03:10:00.000Z,2018-08-14T03:15:00.000Z,0.0
2018-08-16T06:25:00.000Z,2018-08-16T06:30:00.000Z,75.36
2018-08-16T14:10:00.000Z,2018-08-16T14:15:00.000Z,0.01
2018-08-16T22:35:00.000Z,2018-08-16T22:40:00.000Z,191.93
2018-08-16T06:20:00.000Z,2018-08-16T06:25:00.000Z,75.29
2018-08-16T17:35:00.000Z,2018-08-16T17:40:00.000Z,187.37
2018-08-17T16:20:00.000Z,2018-08-17T16:25:00.000Z,0.0
2018-08-17T15:20:00.000Z,2018-08-17T15:25:00.000Z,0.0
2018-08-14T07:45:00.000Z,2018-08-14T07:50:00.000Z,0.0
2018-08-16T16:40:00.000Z,2018-08-16T16:45:00.000Z,10.26
2018-08-17T11:10:00.000Z,2018-08-17T11:15:00.000Z,16.73
2018-08-14T03:35:00.000Z,2018-08-14T03:40:00.000Z,0.0
2018-08-16T15:05:00.000Z,2018-08-16T15:10:00.000Z,6.65
2018-08-17T09:20:00.000Z,2018-08-17T09:25:00.000Z,22.41
2018-08-17T15:05:00.000Z,2018-08-17T15:10:00.000Z,0.0
